,Prostate_03-138A_prednisone,Prostate_03-135C_none,Prostate_03-158F_none,Prostate_03-155C_low-fat_diet,Prostate_03-143C_none,Prostate_03-060A_none,Prostate_03-066C_none_GL3,Prostate_03-066C_none_GL4,Prostate_03-159_none,Prostate_03-021F_selenium,Prostate_02-003E_none,Prostate_03-207C_fish_oil,Prostate_04-023C_none,Prostate_03-115E_none_GL4,Prostate_03-068D_no_neoadjuvant_GL5,Prostate_03-068D_no_neoadjuvant_GL3,Prostate_03-141C_none,Prostate_02-053C_none,Prostate_04-030A_none,Prostate_03-093D_none,Prostate_03-089D_selenium,Prostate_03-184C_none,Prostate_03-152A_Vit_E,Prostate_03-029B_none,Prostate_03-015F_no_neoadjuvant,Prostate_03-119D_none,Prostate_03-140B_fish_oil,Prostate_03-115E_none_GL5,Prostate_03-116C_none,Prostate_03-063A_none,Prostate_03-055H_Vit_E
G97782_CR601818_CGI-49,1.12699997,0.486,0.46599999,0.65799999,-0.68400002,0.233,-0.852,-0.36399999,1.24100006,0.58099997,1.33000004,0.168,-0.56699997,0.58700001,0.67400002,-0.16500001,0.921,0.42300001,0.013,-0.39500001,-0.32300001,-0.296,-0.049,-0.004,0.71700001,0.36899999,-0.87199998,0.71799999,-0.428,-0.053,0.71899998
G97783_0_0,0.56199998,-0.098,0.147,0.021,-0.011,0.055,-0.111,-0.01,0.50400001,1.11199999,-0.002,0.48199999,-0.13500001,0.112,0.40400001,-0.03,0.229,0.067,-0.28299999,0.17399999,0.054,-0.433,-0.08,-0.022,0.206,0.085,0.26699999,0.66600001,-0.091,-0.018,0.24600001
G97784_AK027077_ERBB2IP,-0.15800001,-0.098,-0.073,-0.292,0.075,0.31400001,0.148,-0.31400001,-0.537,0.62099999,-0.26800001,0.69700003,0.124,-1.90400004,0.103,0.347,-1.13499999,-0.057,-0.324,-0.85799998,0.634,0.477,-0.109,0.095,0.17,0.31900001,-0.18700001,-0.84100002,-0.32800001,-1.54200006,-0.773
G97785_BQ712639_BST2,-0.28799999,-0.06,-0.098,0.30399999,1.352,-0.44800001,0.14,-0.17900001,-0.16,-0.40900001,0.58999997,3.38899994,0.15700001,-0.52600002,-0.123,0.035,-1.56900001,0.5,0.023,0.211,-0.08,0.65899998,-0.51999998,-0.132,-0.15700001,0.227,0.169,-0.141,0.17200001,-0.95200002,-0.65399998
G97786_CX786982_RFC4,0.611,-0.106,0.63800001,0.71899998,0.433,0.51300001,-0.39500001,-0.092,1.255,-0.122,1.97500002,1.56099999,0.99199998,0.72899997,2.13000011,0.44499999,1.37800002,0.47400001,0.26699999,0.68199998,0.062,0.36899999,0.77399999,0.011,-0.121,0.056,0.52899998,0.37,0.223,0.211,0.44400001
G97787_AW902425_RGS7,1.19400001,-0.31099999,0.89999998,-0.155,0.741,0.189,0.16,-0.579,-0.169,0.227,-0.176,0.096,0.005,0.46700001,-0.061,-0.412,0.15800001,-0.292,-1.28499997,0.29899999,0.082,0.33000001,0.193,0.007,0.043,-0.073,0.653,0.45300001,-0.069,0.33000001,0.37099999
G97788_CB044918_ITGAV,-0.56,-0.112,2.55999994,0.052,0.648,0.53200001,0.523,0.17399999,0.61199999,0.125,0.17900001,0.68000001,-0.67299998,-1.07099998,-0.16500001,-0.119,0.317,-1.41700006,-1.24600005,-0.019,0.123,1.72300005,0.347,0.059,0.65600002,0.80299997,-0.48500001,-0.414,-0.61699998,-1.40900004,-0.745
G97789_0_0,-0.255,0.65600002,1.33500004,0.20900001,0.212,-0.25799999,-1.24800003,-0.119,0.87400001,0.52600002,-2.07999992,1.43499994,0.14300001,-0.315,-0.40700001,-0.199,0.47499999,0.082,-0.60399997,-0.2,0.63300002,-0.56699997,1.21700001,-0.31999999,0.55400002,-0.064,0.211,-0.056,-0.235,-0.90799999,-0.58099997
G97790_BC008833_FLJ20291,0.026,-0.66600001,-1.74199998,-0.458,-0.94,-0.073,0.50300002,-0.073,-1.16700006,0.354,-1.97599995,0.289,0.138,-0.685,-0.45100001,0.193,-0.67299998,-0.002,0.245,-0.16,-0.49700001,-0.38800001,-1.09099996,-0.107,-0.79799998,0.23999999,-1.34800005,-1.13600004,-0.26899999,0.63499999,-0.54900002
G97791_AA229318_SMARCA4,0.315,-0.80400002,-0.088,-0.2,-0.414,0.007,0.76499999,-0.082,-1.67299998,-0.081,-0.93199998,-0.39500001,0.17399999,-0.921,-0.60100001,-0.018,-0.35499999,-0.60500002,0.59799999,0.134,-0.65200001,0.46599999,-1.76300001,0.169,0.05,-0.28,0.65700001,-1.55900002,0.038,1.41100001,-0.86500001
G97792_BM511855_TMSL3,-0.146,1.40499997,0.13600001,-0.74299997,0.92699999,-0.5,-1.22099996,0.35100001,0.65700001,0.041,-3.88499999,2.36400008,0.43700001,-0.79799998,1.50300002,0.74699998,0.79299998,-0.91000003,0.37,1.08200002,0.43000001,0.949,0.704,0.069,0.58099997,0.116,0.38499999,0.30599999,1.18900001,-0.787,-0.70200002
G97793_BP246227_DKFZp547B1713,-0.115,-0.76800001,-2.29200006,-0.70700002,-1.89999998,-0.405,0.75,0.18000001,-1.31799996,0.229,-1.50100005,-0.301,0.44299999,-1.05700004,-0.308,0.55599999,-0.84200001,0.53399998,0.204,0.065,-0.66799998,-0.52200001,-1.24300003,-0.161,-1.04299998,0.067,-1.17200005,-2.04999995,-0.036,1.02199996,-1.07799995
G97794_BX648141_FNDC3A,0.38,-0.26699999,0.69999999,0.022,0.458,-0.16599999,0.26800001,-0.338,-0.86900002,0.40000001,-0.055,-0.39399999,0.30899999,-0.98100001,-1.47500002,0.178,-0.022,-0.69599998,-0.229,-0.81599998,0.004,0.198,-0.796,-0.074,0.45899999,-0.25099999,0.96499997,0.45100001,-0.012,-0.85500002,-0.101
G97795_CR618286_STAT1,-0.26499999,0.21600001,0.51700002,0.83399999,-0.007,-0.54100001,-0.58399999,-0.33399999,0.67299998,0.039,0.50099999,3.2249999,-0.068,-1.18799996,-0.93300003,-0.164,-0.18099999,0.92400002,-1.29900002,0.33000001,0.55000001,0.48800001,-1.83500004,-0.212,-0.331,-0.034,-0.54400003,0.44499999,0.5,-1.75800002,0.51099998
G97797_AK094293_MGC42174,0.31999999,-0.333,0.847,0.1,0.88200003,0.088,0.32499999,-0.43000001,-0.69800001,0.213,-0.15800001,-0.107,0,0.46200001,-0.18099999,-0.006,0.73699999,-0.68000001,0.74000001,0.90100002,-0.773,0.032,-0.33500001,0.29899999,0.354,-0.368,1.13300002,-0.155,-0.021,0.31,-0.178
G97798_BC010376_TSNAX,0.008,-0.31900001,-0.331,-0.133,-0.57099998,-0.242,0.70899999,0.031,-1.58899999,-0.031,-2.30599999,-0.69800001,0.287,-1.13,-0.49599999,0.26699999,-0.42899999,-0.046,0.338,0.018,-0.26300001,-0.36300001,-1.37100005,0.038,-0.27900001,-0.191,0.09,-1.54700005,-0.093,1.26699996,-1.08700001
G97800_BC100934_APOA1BP,-0.101,0.301,0.366,0.37900001,-0.006,0.191,-0.15700001,0.64200002,0.456,0.192,0.29699999,-0.42199999,-0.117,1.29900002,0.82599998,0.31400001,0.56900001,0.47299999,0.44,1.05900002,0.177,0.329,0.74299997,0.292,0.44600001,0.097,0.391,0.77899998,0.069,0.634,-0.08
G97801_0_0,0.60399997,-0.91799998,1.16299999,0.102,1.18700004,0.077,0.82499999,-0.148,-1.773,-0.212,-0.50999999,-0.64899999,0.077,0.31799999,-1.648,-0.56099999,0.49000001,-2.04099989,1.65400004,0.389,-0.80000001,1.86899996,-2.16400003,0.219,0.67900002,-0.463,1.22300005,-0.29499999,-0.101,1.09300005,0.648
G97802_CD103928_0,0.76899999,1.62300003,1.51800001,-0.093,0.58899999,0.039,1.67299998,0.63200003,-0.391,-0.92299998,0.405,-0.20100001,0.61400002,-0.36500001,-0.37599999,0.94999999,-0.91299999,2.26799989,-1.23000002,1.75999999,1.52199996,1.92200005,-0.27900001,-0.089,0.51899999,0.89700001,0.333,-1.13300002,1.12800002,1.65799999,-0.125
G97803_0_0,0.583,-0.45199999,-0.134,-0.14,-0.21699999,0.093,0.97500002,0.082,-0.34999999,-0.47999999,-0.076,0.249,0.068,-0.148,0.83099997,0.008,0.28400001,0.417,0.54500002,0.99299997,-0.47799999,0.021,-0.47499999,0.11,-0.01,0.064,0.62099999,-0.207,0.125,0.221,0.002
G97804_AY592948_0,0.338,-0.115,0.183,-0.163,0.075,-0.065,0.034,-0.016,0.266,0.049,-0.294,-0.27399999,0.084,0.027,0.107,0.031,0.007,-0.057,0.022,0.1,-0.15000001,-0.236,-0.078,0.049,0.033,0.046,0.56900001,0.15099999,-0.108,-0.35299999,0.528
G97805_0_0,0.336,-0.838,-0.49399999,-0.29100001,-0.30399999,-0.131,0.884,-0.007,-1.50399995,0.391,-0.80400002,-0.31999999,0.147,-0.76800001,-0.45899999,0.32600001,-0.64499998,-0.27700001,0.53100002,0.163,-0.704,-0.168,-1.574,0.031,-0.226,-0.149,0.102,-1.78199995,-0.215,1.11600006,-0.80800003
G97806_NM_153326_AKR1A1,0.36899999,0.58399999,0.303,0.50599998,-0.347,-0.235,-0.25,0.53600001,0.93300003,0.51300001,0.30199999,0.88700002,-0.023,0.58600003,0.219,-0.081,0.66900003,0.65700001,0.07,0.123,0.58499998,-0.287,0.96600002,0.067,0.338,0.36000001,-1.29499996,0.25099999,-0.528,-0.164,-0.071
G97807_BM968103_IRX3,-0.65600002,-1.33500004,1.23000002,-0.73199999,-0.398,-0.027,-1.94700003,-2.27099991,0.049,0.189,-0.035,-0.42500001,1.12300003,-0.133,-1.99899995,0.296,-1.02199996,-3.62199998,1.02199996,0.63700002,-2.09500003,-1.36000001,-0.021,-0.366,0.062,-0.40099999,0.96899998,-0.55400002,-0.59100002,0.456,-0.634
G97808_AI263322_GAB1,0.034,0.109,0.69099998,-0.26800001,0.197,0.32800001,-0.73900002,-0.463,0.292,0.30500001,1.19000006,-0.17,0.63700002,0.727,1.48899996,0.551,0.042,-0.91500002,0.34799999,0.115,0.252,0.708,-0.192,-0.028,0.24600001,0.208,0.391,0.39500001,0.472,-0.69199997,0.147
G97809_BG212259_0,0.73699999,-0.921,1.27900004,0.168,1.29799998,0.054,1.04499996,-0.25400001,-1.46599996,-0.138,-0.13,-0.40000001,0.018,0.46700001,-1.69299996,-0.96799999,0.47499999,-2.78999996,1.90100002,0.51700002,-0.93400002,1.75399995,-2.05999994,0.29800001,0.88,-0.412,1.24199998,-0.065,-0.242,1.41400003,0.396
G97810_CB992246_CGI-143,-0.083,0.50700003,-0.077,0.186,0.011,0.149,-0.273,0.132,1.02900004,-0.08,2.4059999,0.51700002,0.06,0.17399999,1.86300004,0.36500001,0.241,0.69199997,-0.104,0.70200002,0.017,-0.87699997,0.71499997,-0.122,0.185,0.183,0.40799999,0.36500001,-0.43399999,-0.41999999,0.132
G97811_AI912910_LOC203547,-0.027,0.021,-0.25400001,0.067,-0.122,0.019,-0.42199999,-0.26100001,0.88599998,0.126,1.58200002,0.67199999,-0.208,0.083,0.426,-0.34,0.33899999,-0.03,0.33899999,0.43099999,0.463,0.53299999,0.079,-0.119,-0.019,0.30599999,-0.31600001,0.244,0.25600001,-0.067,0.58200002
G97812_BC044224_PHF19,0.34400001,0.13500001,-0.29100001,-0.17399999,-0.16599999,0.08,-0.02,0.212,0.354,-0.421,-1.43400002,0.384,-0.95599997,0.161,1.051,0.57700002,-0.479,0.152,0.472,0.127,-0.31400001,0.178,-0.213,0.1,0.011,-0.008,0.417,0.391,1.00600004,0.90600002,-0.59799999
G97813_0_0,0.121,-0.113,0.177,0.145,-0.057,-0.133,0.072,0.28999999,0.461,-0.43000001,0.036,0.32100001,0.001,0.112,0.91600001,-0.014,0.35699999,0.087,-0.016,-0.104,0.29899999,-0.25799999,0.33899999,0.011,0.163,0.121,-0.26699999,0.26499999,0.099,0.025,-0.033
G97816_0_0,-0.168,0.071,-0.46900001,0.26100001,-0.35100001,-0.17399999,-0.324,0.384,0.18000001,-0.05,-0.51800001,0.26699999,0.25400001,-0.273,0.078,0.219,-0.109,0.083,-0.033,0.248,-0.48699999,0.48500001,0.33899999,-0.061,0.095,0.47499999,-0.014,0.27599999,0.41,0.018,-0.016
G97817_NM_001818_AKR1C4,0.242,0.51999998,0.149,0.50700003,0.19400001,-0.235,0.007,0.222,0.222,0.50999999,-0.28099999,0.31999999,-0.004,-0.113,0.024,0.228,0.22400001,0.149,0.105,0.324,1.954,0.68400002,-0.081,0.64499998,-0.223,0.204,0.91299999,0.28600001,0.156,-0.48899999,0.14399999
G97818_CR618813_PC,-0.162,-0.74000001,-1.24600005,-0.48300001,-1.28799999,0.031,0.73100001,0.07,-0.86199999,0.27200001,-0.95599997,-0.84399998,0.104,0.89899999,-0.22400001,0.37200001,-0.64300001,0.43000001,0.36000001,-0.087,-0.27399999,-0.79400003,-0.56099999,0.084,-0.43900001,-0.118,-0.667,-0.12800001,-0.46599999,0.84899998,-0.37200001
G97819_AF052090_NNT,0.37400001,1.19599998,-0.25099999,1.09899998,-0.015,-0.09,-0.53799999,0.597,2.12400007,0.169,2.11899996,1.18200004,0.14300001,1.20200002,0.63200003,-0.115,1.49699998,0.76099998,-0.161,0.48899999,0.79000002,-0.211,1.70799994,-0.37099999,0.47299999,0.62,-0.183,1.56500006,0.433,-0.292,0.64200002
G97820_M35493_HSD3B1,0.96700001,-1.00300002,-0.81099999,0.086,-0.12800001,0.71700001,-0.71899998,-0.235,0.44299999,-0.155,-2.51999998,-0.359,-0.73299998,1.90100002,1.09800005,0.122,0.35499999,-0.94800001,1.48800004,0.60500002,-1.08899999,0.49599999,0.32800001,-0.47299999,0.47099999,0.27900001,0.36899999,-0.095,1.40799999,2.64599991,0.221
G97821_BQ183222_COL2A1,-0.192,0.90399998,0.168,0.19400001,0.57300001,0.104,0.68800002,0.88300002,0.007,0.023,-0.39899999,-0.54900002,0.077,1.09800005,0.106,1.65499997,2.43499994,0.047,0.36500001,1.59399998,-0.036,2.28800011,0.57099998,0.114,1.71800005,0.212,0.59200001,0.35699999,-0.80500001,0.35600001,-0.44400001
G97823_NM_000315_PTH,0.116,-0.45300001,-0.2,-0.075,1.08299994,-0.003,0.79400003,-0.221,-1.11199999,0.14300001,0.84399998,-0.53899997,-0.21799999,0.36000001,-1.41299999,-0.81300002,0.39899999,-1.96899998,1.66600001,0.26199999,-0.068,0.336,-1.495,0.009,0.063,-0.23100001,0.69999999,0.38999999,-0.26100001,0.53899997,0.134
G97824_W02761_TNFRSF1A,-0.56999999,0.104,0.252,-0.34400001,-0.212,-0.31900001,-0.81099999,-0.87800002,-0.005,2.96099997,-0.912,0.39700001,-0.31,-0.84299999,-0.78799999,0.33399999,-1.26199996,-1.01900005,0.29699999,-0.56800002,-0.67500001,-0.25400001,-0.264,-0.40900001,0.021,-0.149,0.082,-1.04200006,0.39899999,-0.39300001,-0.583
G97825_BQ024872_NLGN1,0.22499999,0.152,-0.53500003,-0.47400001,0.11,-0.063,-0.061,-0.124,-0.043,0.73799998,-0.29899999,0.405,0.142,-0.91000003,0.403,-0.009,-0.315,-0.168,-0.49700001,0.1,0.34,-0.124,0.015,0.053,-0.29699999,0.17299999,-0.43799999,-0.498,-0.074,-0.77200001,0.096
G97826_BX105126_TNFRSF11A,0.049,-0.79699999,-2.04299998,-0.82999998,-1.92999995,-0.30599999,0.713,0.031,-1.39400005,0.25799999,-2.30999994,-0.46399999,0.456,-1.296,-0.34299999,0.41499999,-0.90100002,0.44,0.495,0.796,-0.71399999,-0.80199999,-1.34200001,0.005,-0.91900003,0.017,-0.57099998,-1.86399996,-0.28400001,0.92299998,-1.21700001
G97827_CN357911_ETS1,-0.46700001,0.28600001,1.11600006,-0.59600002,1.09000003,-0.38,-0.63,-0.46599999,-0.477,-0.42399999,0.77899998,1.34300005,0.83399999,-1.94599998,-1.49300003,0.063,-0.44100001,0.28400001,-0.34599999,0.213,0.127,1.35099995,-1.11399996,-0.296,-0.034,0.001,0.43099999,0.104,0.64200002,-1.39100003,-1.18799996
G97828_NM_021197_WFDC1,-0.223,1.29200006,-0.34900001,-0.85699999,0.68300003,-0.111,0.147,-0.014,-0.53899997,0.083,0.40700001,1.125,-0.018,-1.10399997,-0.60000002,-0.071,-0.32699999,-0.366,-0.041,1.39499998,1.20799994,2.03399992,0.113,0.084,-1.08800006,0.27399999,0.28,-0.801,1.68299997,-1.80599999,-2.11999989
G97830_BC040929_HERC1,0.147,0.51599997,-0.064,-0.31299999,-0.14,-0.094,0.032,-0.145,-0.06,0.5,0.43900001,0.56400001,0.083,-0.30700001,-0.12800001,0.097,-0.34200001,0.016,-0.192,-0.14,0.068,-0.011,0.001,-0.028,0.058,0.007,0.21699999,-0.229,0.2,-0.077,-0.78100002
G97831_NM_001218_CA12,-0.089,-0.78399998,-2.22000003,-0.69700003,-1.70000005,-0.145,0.66500002,-0.205,-1.98000002,0.25,-3.24799991,-0.91799998,0.37099999,-0.63300002,-0.77899998,0.574,-0.95899999,0.30899999,0.52399999,0.23800001,-0.88200003,-0.96799999,-1.648,0.015,-1.16799998,0.226,-1.278,-1.73000002,-0.29899999,1.02100003,-1.63100004
G97832_BM543463_MSH2,0.139,0.32600001,0.145,0.47099999,0.47299999,-0.053,-0.42199999,-0.156,0.52100003,0.101,1.63699996,0.83899999,0.94199997,0.498,1.86600006,0.898,1.42200005,0.37,-0.285,0.14300001,0.54100001,0.177,-1.11500001,0.072,0.264,0.331,0.278,1.54100001,0.292,-0.995,-0.15000001
G97834_AA423957_THBS4,0.37200001,0.193,0.18000001,-0.064,0.32499999,0.226,0.43799999,0.16,0.063,-0.13,0.82800001,0.285,-0.45699999,-0.40799999,-0.50300002,0.26899999,-0.37099999,0.044,-0.44499999,0.64899999,0.234,2.38899994,0.223,0.018,0.17399999,0.206,0.152,-0.045,1.75899994,1.14199996,-0.26199999
G97835_AI300050_TRAF2,-0.08,-0.338,0.043,-0.096,-0.296,-0.155,-0.108,-0.088,-0.115,0.133,0.95300001,-0.153,-0.099,-0.25299999,-0.38699999,-0.229,-0.366,0.233,0.40799999,-0.031,-0.484,-1.03299999,0.26300001,0.13600001,0.032,0.26699999,0.255,-0.38699999,-0.003,0.131,-0.74599999
G97836_CD102291_SMN2,0.207,0.31099999,1.13999999,0.61400002,0.847,-0.18099999,-0.47600001,0.198,0.84200001,0.121,-0.021,0.87599999,0.69999999,-0.197,0.80000001,0.076,-1.01400006,0.389,0.398,-0.736,0.59100002,-0.271,0.97000003,-0.017,-0.139,0.105,0.05,0.63,0.294,-1.44400001,-0.244
G97837_NM_002019_FLT1,-0.727,-0.352,-0.117,-0.465,0.41499999,0.14399999,-0.118,-0.63099998,-0.70999998,0.139,0.588,0.764,-0.242,1.03100002,0.235,0.419,-0.52399999,-0.17200001,-0.077,0.37900001,0.23800001,0.81800002,0.66000003,-0.68800002,-0.235,0.23999999,-0.67400002,-0.09,0.73699999,-0.14399999,-1.31500006
G97838_M96995_GRB2,-0.26100001,0.57300001,-0.098,0.28099999,0.029,-0.033,-0.051,0.039,0.54400003,0.57999998,-0.53600001,0.26300001,-0.053,0.71700001,1.05200005,0.66100001,-0.002,-0.237,-0.107,0.41999999,0.86799997,-0.36199999,1.22899997,0.186,0.42500001,0.36700001,0.052,1.00600004,-0.02,-1.02699995,-0.088
G97840_0_0,0.192,0.095,-0.048,0.241,-0.085,-0.164,-0.215,0.20200001,0.51499999,-0.55500001,0.171,0.081,0.38,0.26499999,0.118,0.241,0.14300001,-0.018,0.112,-0.199,0.176,0.071,0.123,0.285,-0.26199999,0.46799999,0.884,-0.036,0.024,0.102,0.229
G97841_NM_001818_AKR1C4,0.361,0.72899997,0.42899999,0.57499999,0.271,0.045,0.27200001,-0.32499999,0.167,0.60699999,0.17299999,0.78500003,0.32300001,0.028,-0.003,0.152,0.141,0.25099999,0.006,0.52700001,2.4230001,0.53299999,0.329,0.484,0.41800001,0.07,0.75599998,0.13600001,0.491,-0.89700001,-0.102
G97842_CR618813_PC,-0.211,-0.648,-1.28400004,-0.29100001,-1.23099995,-0.064,0.53399998,-0.125,-0.83399999,-0.477,-1.14300001,-0.54699999,0.28999999,0.74900001,-0.257,0.33399999,-0.55400002,0.229,0.30700001,-0.032,-0.289,-0.80699998,-0.74800003,0.121,-0.382,-0.154,-0.67299998,-0.55900002,-0.377,0.579,-0.20100001
G97843_AF052090_NNT,0.45100001,1.08800006,-0.126,0.85100001,-0.003,-0.086,-0.59200001,0.51899999,2.13899994,2.31699991,2.27600002,1.07000005,0.054,1.17999995,0.71799999,-0.024,1.46500003,0.73500001,-0.13699999,0.42899999,0.68400002,-0.226,1.81599998,-0.31400001,0.54699999,0.56300002,-0.44999999,1.76499999,0.48300001,-0.289,0.79699999
G97844_M35493_HSD3B1,0.88499999,-1.00800002,-1.01400006,0.036,-0.28,0.61500001,-0.60799998,-0.229,0.51700002,-0.303,-2.41599989,-0.49399999,-0.68699998,1.84399998,1.10800004,0.089,0.41600001,-0.90100002,1.43499994,0.55900002,-1.10500002,0.588,0.37,-0.528,0.449,0.27700001,0.26699999,-0.078,1.37399995,2.81699991,0.18000001
G97846_AY382667_ACACB,-0.024,-0.41999999,-0.96100003,-0.551,-0.61400002,0.017,0.41499999,-0.449,-1.19000006,0.42399999,-0.73699999,0.116,0.639,-0.50199997,-0.249,0.16,-0.37200001,0.061,0.041,0.106,-0.104,-0.118,-0.36300001,-0.056,-0.41999999,-0.213,-0.354,-1.13199997,0.40799999,0.53500003,-0.38999999
G97847_NM_000315_PTH,0.75700003,-0.141,0.63599998,-0.264,1.44700003,0.093,0.35699999,-0.54000002,-0.18700001,-0.26100001,-0.131,0.25099999,0.046,0.40599999,-0.39899999,-0.205,0.076,-1.26199996,0.949,0.40799999,-0.65200001,0.078,-0.82700002,0.182,0.14,-0.06,0.83700001,0.616,-0.29100001,-0.164,0.40000001
G97848_W02761_TNFRSF1A,-0.34,0.175,0.058,-0.68099999,-0.46700001,-0.255,-0.60500002,-1.00899994,0.004,-0.50700003,-1.12,0.546,-0.30599999,-0.85000002,-0.88200003,0.191,-1.44299996,-0.80400002,0.183,-0.33199999,-0.91000003,-0.32300001,-0.26100001,-0.119,-0.081,-0.138,0.23899999,-0.70300001,0.049,-0.55500001,-0.80500001
G97849_BQ024872_NLGN1,0.14300001,0.091,-0.64700001,-0.41600001,-0.091,-0.14399999,-0.058,-0.078,-0.229,1.05999994,-0.19499999,0.35499999,-0.132,-0.56099999,0.48100001,-0.308,-0.33399999,-0.001,-0.004,-0.031,-0.101,-0.222,-0.257,0.149,-0.184,0.008,0.171,0.078,-0.034,-0.322,0.124
G97850_BX105126_TNFRSF11A,0.04,-0.85699999,-1.95200002,-0.86299998,-1.80400002,-0.114,0.89600003,0.138,-1.57599998,0.027,-2.19700003,-0.47,0.43200001,-1.33000004,-0.155,0.47499999,-0.87300003,0.44600001,0.377,0.829,-0.634,-0.72799999,-1.13600004,-0.039,-0.84500003,0.12800001,-0.66299999,-1.89199996,-0.23,0.912,-0.88599998
G97851_CN357911_ETS1,-0.78200001,0.514,0.70200002,-0.78500003,0.94700003,-0.185,-0.44499999,-0.28799999,-0.396,-0.116,0.48699999,1.31700003,0.99800003,-1.87,-1.70899999,0.115,-0.59399998,0.208,-0.49599999,0.072,0.121,1.22500002,-1.22099996,-0.46900001,0.016,0.053,-0.14399999,-0.014,0.66500002,-1.55299997,-0.90799999
G97852_NM_021197_WFDC1,-0.31400001,1.36199999,-0.597,-0.91100001,0.68099999,-0.182,0.14399999,-0.091,-0.93199998,0.002,0.412,1.13499999,0.05,-1.11399996,-0.70599997,-0.063,-0.42300001,-0.23999999,-0.301,1.41799998,1.26999998,1.91199994,0.045,-0.106,-0.96399999,0.301,0.35699999,-0.73299998,1.54400003,-1.76800001,-2.25500011
G97853_CR609113_PPARG,0.041,-0.131,-0.255,0.061,-0.012,-0.125,0.19400001,-0.28099999,0.082,-0.74900001,0.287,-0.004,-0.114,0.45899999,3.23000002,0.48699999,-0.042,-0.20299999,0.491,0.122,-0.347,-0.141,0.28799999,0.062,0.112,0.13600001,0.264,0.68400002,-0.067,0.124,0.433
G97854_BC040929_HERC1,0.146,0.244,-0.141,-0.34999999,0.032,-0.097,-0.20200001,-0.096,0.014,0.57499999,0.38800001,0.56999999,-0.056,-0.273,-0.075,0.149,-0.26800001,-0.046,-0.124,-0.105,0.031,0.078,-0.072,0.121,0.154,0.011,0.21799999,-0.186,0.149,-0.38999999,-0.49200001
G97855_NM_001218_CA12,-0.213,-0.77200001,-2.33400011,-0.611,-1.84500003,-0.22499999,0.74400002,-0.18700001,-1.89499998,-0.171,-2.97000003,-1.023,0.31099999,-0.801,-0.76800001,0.54299998,-0.94599998,0.34999999,0.53100002,0.18700001,-1.00699997,-0.98799998,-1.67200005,0.01,-1.18299997,0.167,-1.35800004,-1.64499998,-0.322,1.15499997,-1.68700004
G97856_BM543463_MSH2,0.244,0.26100001,-0.043,0.59100002,0.50800002,-0.022,-0.19,-0.03,0.37400001,0.077,1.79400003,1.14300001,0.52399999,0.47999999,1.62100005,0.68199998,1.48899996,0.435,-0.40799999,0.002,0.78799999,0.198,-0.95899999,0.119,0.32800001,0.403,0.296,1.46300006,0.27000001,-0.86299998,0.104
G97858_AA423957_THBS4,0.45100001,0.329,-0.215,-0.089,0.17900001,0.112,0.40799999,-0.013,0.04,0.80400002,0.58399999,0.60100001,-0.301,-0.53500003,-0.62,0.048,-0.244,0.083,-0.338,0.58200002,0.148,2.32299995,0.39899999,-0.014,0.205,0.25299999,0.102,-0.207,1.86699998,0.70899999,-0.41999999
G97859_AI300050_TRAF2,0.095,-0.37599999,0.067,-0.099,-0.18700001,0.068,0.004,-0.045,-0.094,0.26899999,0.80500001,-0.12800001,-0.27200001,-0.102,-0.382,-0.097,-0.301,-0.006,0.35100001,-0.186,-0.454,-0.83899999,0.067,0.36199999,0.118,0.198,0.27200001,-0.33399999,0.015,0.141,-0.61199999
G97860_CD102291_SMN2,0.132,0.80400002,1.00300002,0.63700002,0.82099998,-0.24600001,-0.38600001,0.154,1.24800003,0.32600001,-0.14399999,0.99900001,0.55299997,-0.019,0.79500002,0.124,-1.20799994,0.421,0.249,-0.71799999,0.45899999,-0.33899999,0.80000001,-0.115,-0.215,0.05,0.229,0.84200001,0.412,-1.33399999,-0.227
G97861_NM_002019_FLT1,-0.773,-0.315,0.177,-0.36399999,0.52100003,0.131,-0.101,-1.046,-0.88,0.147,0.92699999,0.90100002,-0.126,0.92500001,0.12800001,0.47099999,-0.47799999,-0.235,0.087,0.26899999,0.17399999,0.84299999,0.60600001,-0.66000003,-0.131,0.18799999,-0.68800002,-0.184,0.76499999,-0.257,-1.26199996
G97862_M96995_GRB2,-0.28200001,0.64600003,-0.229,0.199,0.118,-0.066,-0.078,-0.18000001,0.69300002,0.40200001,-0.81599998,0.57499999,-0.036,0.662,1.02699995,0.73299998,0.199,-0.37599999,-0.35499999,0.42500001,0.73000002,-0.208,1.05400002,0.20100001,0.417,0.176,0.228,0.73900002,0.012,-0.93099999,-0.02
G97863_BX111080_MAP3K8,-0.06,-0.31299999,-0.102,0.493,-0.64999998,-0.121,0.176,-0.007,0.34400001,0.25,0.234,0.74900001,-0.004,0.278,0.007,0.308,0.171,-0.097,0.019,0.23800001,0.84399998,0.208,0.27700001,-0.012,-0.48199999,-0.42199999,-0.094,0.55000001,0.296,0.52399999,-0.53399998
G97864_0_0,-0.09,-0.219,-0.56900001,0.77700001,-0.87599999,-0.45300001,0.39300001,0.36399999,0.134,-0.54900002,0.412,0.21600001,0.197,0.066,-0.025,0.27000001,-0.055,0.101,0.229,0.085,0.68599999,-0.498,-0.495,-0.41999999,-0.36000001,0.049,-0.36700001,-0.25999999,-0.35800001,-0.741,-0.51999998
